"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Rumah Dua lantai fre biaya dekat gerbang tol jati aasih","Bekasi Selatan, Bekasi, Jawa Barat","Rp","1,285 M","3","3","110 m²","Rp 21.416.667 per m²","tel:+6285861175230","Hubungi"
"Rumah murah Tiga lantai fre biaya siap huni d bekasi","asih 1, Bekasi Selatan, Bekasi, Jawa Barat","Rp","1,285 rb","3","3","110 m²","Rp 21 per m²","tel:+6285861175230","Hubungi"
"Cluster Cherryville Grand Wisata Bekasi","Jl. Bima Utama Raya, Lambang Sari, Tambun, Bekasi, Jawa Barat","Rp","1,83603904 M","4","3","100 m²","Rp 14.571.738 per m²","tel:+6285694939700","Hubungi"
"Legenda Wisata",". Jl. Raya Alternatif Cibubur, Cikeas Udik, Bekasi, Cibubur, Bekasi, Jawa Barat","Rp","2,223 M","4","3","150 m²","Rp 11.227.273 per m²","tel:+6281212336678","Hubungi"
"Grand Wisata Cluster Z Living","Jl. Western Boulevard Grand Wisata Bekasi, Bekasi, Bekasi, Jawa Barat","Rp","1,33036265 M","3","3","88 m²","Rp 20.157.010 per m²","tel:+6285694939700","Hubungi"
"Grand Wisata Cluster Z Living Type Life Style","Jl. Western Boulevard, Mustikajaya, Bekasi, Jawa Barat","Rp","2,3 M","5","4","125 m²","Rp 16.428.571 per m²","tel:+6285694939700","Hubungi"
"grand setu city","jl mt hariyono, Setu, Bekasi, Jawa Barat","Rp","440 jt","2","1","42 m²","Rp 7.333.333 per m²","tel:+6285158636623","Hubungi"
"Rumah Baru Cantik Siap Huni di Jatiwaringin, Bekasi","Raya Jatiwaringin, Jati Waringin, Bekasi, Jawa Barat","Rp","1,63 M","4","3","113 m²","Rp 14.298.246 per m²","tel:+6281299228901","Hubungi"
"2 lantai pinggir jalan raya di jatiasih","Jl. Wibawa Mukti 2, Jatiasih, Bekasi, Jati Sari, Bekasi, Jawa Barat","Rp","656 jt","3","2","60 m²","Rp 11.927.273 per m²","tel:+6289687911519","Hubungi"
"Rumah baru dalam cluster di jati makmur pondok gede Bekasi","Jln, Bekasi Selatan, Bekasi, Jawa Barat","Rp","795 jt","3","2","72 m²","Rp 13.032.787 per m²","tel:+6282190795325","Hubungi"
"Dijual cepat rumah termurah di cluster harmoni harapan indah","Harapan Indah, Bekasi, Jawa Barat","Rp","1,09 M","3","2","105 m²","Rp 10.380.952 per m²","tel:+6281311338893","Hubungi"
"Dijual Rumah Dua lantai di Vassa Residence Lippo Cikarang","Jl. Bukit Indah Boulevard No. 9, Lippo Cikarang, Bekasi, Jawa Barat","Rp","3,2 M","3","3","200 m²","Rp 16.000.000 per m²","tel:+6285210947428","Hubungi"
"Rumah Siap Huni Cluster Vassa Terrace","Jl. Bukit Indah Boulevard No. 9, Lippo Cikarang, Bekasi, Jawa Barat","Rp","3,2 M","3","3","230 m²","Rp 16.000.000 per m²","tel:+6285210947428","Hubungi"
"Galaxy bekasi selatan","Bekasi selatan, Bekasi, Bekasi, Jawa Barat","Rp","2,5 M","4","5","400 m²","Rp 12.500.000 per m²","tel:+6289693975765","Hubungi"
"Rumah dijual murah di Taman harapan baru Harapan Indah Bekasi","Taman harapan baru, Harapan Indah, Bekasi, Jawa Barat","Rp","1,19 M","4","2","100 m²","Rp 5.950.000 per m²","tel:+62816669062","Hubungi"
"Rumah dijual murah di cluster adara harapan indah","Harapan indah, Harapan Indah, Bekasi, Jawa Barat","Rp","1,49 M","3","3","70 m²","Rp 13.796.296 per m²","tel:+62816669062","Hubungi"
"Dijual Rumah murah di segara city bekasi","Segara City Segara city, Bekasi Utara, Bekasi, Jawa Barat","Rp","550 jt","2","1","45 m²","Rp 6.111.111 per m²","tel:+62816669062","Hubungi"
"Hunian nyaman jatiasih bekasi","Pasar rebo, Galaxy, Bekasi, Jawa Barat","Rp","1,691 M","3","3","138 m²","Rp 21.137.500 per m²","tel:+6283805387996","Hubungi"
"Cibubur Country Royal Wood","Jl. Letda Natsir No. 8 Cikeas Udik, Bekasi, Bekasi, Jawa Barat","Rp","1,08 M","2","2","78 m²","Rp 15.000.000 per m²","tel:+628568712220","Hubungi"
"RUMAH BALSA GREEN ARA RESIDENCE UK 7x21, STANDAR DEVELOPER, JUAL MUARHHHH","Bekasi barat, Bekasi Barat, Bekasi, Jawa Barat","Rp","1,65 M","2","1","51 m²","Rp 11.224.490 per m²","tel:+628159007730","Hubungi"
"Rumah murah 265 jt di Babelan Bekasi","Jl Kampung Asem Babelan Bekasi, Bekasi Utara, Bekasi, Jawa Barat","Rp","275 jt","2","1","40 m²","Rp 5.500.000 per m²","tel:+6281212335979","Hubungi"
"Jual Rumah Siap Huni Lokasi Strategis Dekat Jatiasih Bekasi Harga Nego Siap KPR","Jl. Mesjid Al Arafiyah Jatibening Baru, Jatiasih, Bekasi, Jawa Barat","Rp","1,17 M","4","2","100 m²","Rp 7.905.405 per m²","tel:+6282125399395","Hubungi"
"Rumah Dijual di Cluster Summarecon Bekasi","Bekasi, Bekasi, Jawa Barat","Rp","2,2 M","4","4","132 m²","Rp 17.460.317 per m²","tel:+628111898744","Hubungi"
"Vila Indah Permai","Jl Kaliabang, Teluk Pucung, Bekasi Utara, Teluk Pucung, Bekasi, Jawa Barat","Rp","400 jt","2","1","40 m²","Rp 6.666.667 per m²","tel:+628121173111","Hubungi"
"Bintang Metropole","Jl. H. Tabrani, Marga Mulia, Bekasi Selatan, Bekasi Selatan, Bekasi, Jawa Barat","Rp","700 jt","2","1","70 m²","Rp 8.974.359 per m²","tel:+628121173111","Hubungi"
"Di Jual Cluster Khalas Cikarang utara","Karang asih Cikarang utara, Cikarang Utara, Bekasi, Jawa Barat","Rp","400 jt","2","1","36 m²","Rp 5.555.556 per m²","tel:+6282122211939","Hubungi"
"Dijual Rumah Baru Dalam Cluster Strategis Dekat Tol Jatiasih Bekasi","Jatiasih, Bekasi, Jawa Barat","Rp","790 jt","2","1","53 m²","Rp 7.900.000 per m²","tel:+628118450300","Hubungi"
"Dijual Rumah Dalam Cluster Siap Huni Strategis di Jatisari Jatiasih Bekasi","Jati Sari, Bekasi, Jawa Barat","Rp","600 jt","2","1","50 m²","Rp 7.692.308 per m²","tel:+628118450300","Hubungi"
"DIJUAL MURAH RUMAH 2 LANTAI LOKASI NEMPEL JL RAYA BINTARA 8","Jl Bintara Jaya 8, Bintara Jaya, Bekasi, Jawa Barat","Rp","850 jt","3","2","128 m²","Rp 13.281.250 per m²","tel:+6285782036932","Hubungi"
"DIJUAL MURAH RUMAH LUXURY 2 LANTAI CLUSTER BINTARA LOKASI STRATEGIS DEKAT EXIT TOL JORR KALIMALANG","Jl Bintara Jaya, Bintara, Bekasi, Jawa Barat","Rp","850 jt","3","2","120 m²","Rp 13.281.250 per m²","tel:+6285782036932","Hubungi"
"JUAL MURAH RUMAH EXCLUSIVE 2 LANTAI PELANGI RESIDENCE SELANGKAH KE TOL JORR BINTARA DAN TOL BECAKAYU","Jl Bintara 11, Bintara Jaya, Bekasi, Jawa Barat","Rp","1,18 M","3","2","60 m²","Rp 15.526.316 per m²","tel:+6285782036932","Hubungi"
"RUMAH EXCLUSIVE  TERMURAH DI BINTARA BEKASI BARAT PELANGI RESIDENCE DEKAT TOL JORR PONDOK KELAPA","Jl Bintara 11, Bintara, Bekasi, Jawa Barat","Rp","1,18 M","3","2","60 m²","Rp 15.526.316 per m²","tel:+6285782036932","Hubungi"
"JUAL MURAH RUMAH 2 LANTAI DI BINTARA LOKASI STRATEGIS SELANGKAH KE PONDOK KELAPA JAKARTA TIMUR","Jl Bintara Jaya, Bintara, Bekasi, Jawa Barat","Rp","580 jt","3","2","96 m²","Rp 12.083.333 per m²","tel:+6285782036932","Hubungi"
"DIJUAL MURAH RUMAH MINIMALIS 2 LANTAI Akses Jalan Mobil","Jl Bintara 12, Bintara Jaya, Bekasi, Jawa Barat","Rp","580 jt","3","2","96 m²","Rp 12.083.333 per m²","tel:+6285782036932","Hubungi"
"JUAL MURAH RUMAH 1 LT BEBAS BANJIR LOKASI STRATEGIS DEKAT PLAZA PONDOK GEDE","Jl Raya Jatiwarna, Pondokgede, Bekasi, Jawa Barat","Rp","700 jt","3","2","90 m²","Rp 6.363.636 per m²","tel:+6285782036932","Hubungi"
"Rumah Kemang Pratama, Bekasi","Kemang Pratama, Kemang Pratama, Bekasi, Jawa Barat","Rp","1,7 M","3","2","90 m²","Rp 9.444.444 per m²","tel:+6281393339935","Hubungi"
"Dijual Rumah Siap Huni, 700 jutaan, DP bisa dicicil 4 kali di Jatisari","bekasi, Jati Sari, Bekasi, Jawa Barat","Rp","751 jt","3","2","65 m²","Rp 11.378.788 per m²","tel:+6285156349533","Hubungi"
"Casturi Residence Syariah","Jl.MT Haryono, Setu, Bekasi, Jawa Barat","Rp","335 jt","2","1","40 m²","Rp 4.785.714 per m²","tel:+6282172890031","Hubungi"
"BEKASI","Villa Gading Harapan 1, Bekasi Utara, Bekasi, Jawa Barat","Rp","355 jt","2","1","54 m²","Rp 5.916.667 per m²","tel:+6281364323399","Hubungi"
"Rumah baru di jalan utama jatiasih","Wibawamukti, Jatiasih, Bekasi, Jawa Barat","Rp","706,25 jt","2","2","60 m²","Rp 12.840.909 per m²","tel:+6281808870036","Hubungi"
"Rumah minimalis modern di Mustikajaya","Raya Mustikajaya, Mustikajaya, Bekasi, Jawa Barat","Rp","839 jt","3","2","58 m²","Rp 13.754.098 per m²","tel:+6281808870036","Hubungi"
"Rumah murah di Jatiasih","Sirojul Munir, Jatiasih, Bekasi, Jawa Barat","Rp","400 jt","2","1","36 m²","Rp 7.843.137 per m²","tel:+6281808870036","Hubungi"
"jatibening baru","jl nangka jatibening baru, Jati Bening, Bekasi, Jawa Barat","Rp","1,75 M","4","3","211 m²","Rp 9.615.385 per m²","tel:+6285280316061","Hubungi"
"rumah mewah jatisari Indah Jati asih bekasi kota","jalan swatantra jatisari jatiasih bekasi kota, Jatiasih, Bekasi, Jawa Barat","Rp","7,75 M","6","7","1400 m²","Rp 11.071.429 per m²","tel:+6285280316061","Hubungi"
"Perumhan Mas Naga Galaxy jaka Setia Bekasi Selatan","Masa naga Galaxy, Galaxy, Bekasi, Jawa Barat","Rp","2,5 M","5","2","202 m²","Rp 13.888.889 per m²","tel:+6285280316061","Hubungi"
"jaladha pura bulak kapal bekasi timur","Bekasi Timur, Bekasi, Jawa Barat","Rp","2,75 jt","7","4","211 m²","Rp 12.222 per m²","tel:+6285280316061","Hubungi"
"Green Jati Kartika 2","Wibawa mukti, Jatiasih, Bekasi, Jawa Barat","Rp","599,75 jt","2","1","50 m²","Rp 8.329.861 per m²","tel:+6285280316061","Hubungi"
"jatisari jatikramat jatiasih bekasi kota","wibawa mukti, Jatiasih, Bekasi, Jawa Barat","Rp","600 jt","2","1","50 m²","Rp 8.333.333 per m²","tel:+6285280316061","Hubungi"
"Rumah Tinggal Jatibening Dalam Komplek Siap Ditempati","Jalan raya Ratna jatibening, Jati Bening, Bekasi, Jawa Barat","Rp","2,4 M","5","6","247 m²","Rp 12.182.741 per m²","tel:+628128975665","Hubungi"
"Rumah siap huni di ifolia","Harapan Indah, Bekasi, Jawa Barat","Rp","1 M","3","2","36 m²","Rp 7.936.508 per m²","tel:+6282211111976","Hubungi"
"Kota Harapan Indah Cluster Taman Sari","Jl. Bekasi Raya, Medan Satria, Bekasi, Medan Satria, Bekasi, Jawa Barat","Rp","1,9 M","4","3","124 m²","Rp 15.322.581 per m²","tel:+6282211111976","Hubungi"
"Di Jual Rumah baru  mewah 2 lantai mewah Kokoh dalam cluster di Kodau jatimekar dekat Tol Jati Warna","Jati Warna, Bekasi, Jawa Barat","Rp","1,25 M","3","2","100 m²","Rp 15.625.000 per m²","tel:+6281213378651","Hubungi"
"Rumah di Jual Idaman dan Cantik di Cikarang, Bekasi","Cikarang, Bekasi, Jawa Barat, Cikarang, Bekasi, Jawa Barat","Rp","485 jt","2","1","54 m²","Rp 6.736.111 per m²","tel:+6281293280655","Hubungi"
"Dito Grand Mansion","Jalan Cipete Raya, Bekasi Timur, Bekasi, Jawa Barat","Rp","850 jt","3","1","70 m²","Rp 6.439.394 per m²","tel:+6281380934607","Hubungi"
"SIAP HUNI developer SUMMARECON BEKASI NAROGONG","JL Raya Narogong Developer Summarecon BEKASI, Narogong, Bekasi, Jawa Barat","Rp","430 jt","2","1","36 m²","Rp 7.166.667 per m²","tel:+6281905448411","Hubungi"
"Harapan indah cluster","Harapan Indah, Bekasi, Jawa Barat","Rp","1,5 M","4","3","120 m²","Rp 14.285.714 per m²","tel:+6281323230177","Hubungi"
"RUMAH BARU MURAH, DI TAMAN SENTOSA","Cikarang, Bekasi, Jawa Barat","Rp","599 jt","2","2","85 m²","Rp 7.487.500 per m²","tel:+628121094800","Hubungi"
"Jati makmur pondok Gede Bekasi kota","Jati Makmur pondok gede Bekasi kota, Jati Makmur, Bekasi, Jawa Barat","Rp","795 jt","3","2","72 m²","Rp 13.032.787 per m²","tel:+628993334194","Hubungi"
"Rumah dijual, baru mutu bagus di kodau jati mekar","Jln, Pondokgede, Bekasi, Jawa Barat","","925","2","2","80 m²","Rp 9 per m²","tel:+6282190795325","Hubungi"
"Rumah dijual, mewah lokasi di jati warna","Jln, Bekasi Selatan, Bekasi, Jawa Barat","Rp","3,8 M","5","3","200 m²","Rp 14.074.074 per m²","tel:+6282190795325","Hubungi"
"MANSION HILL KARANG SATRIA","Jl raya karang Satria, Bekasi Utara, Bekasi, Jawa Barat","","400","2","1","36 m²","Rp 7 per m²","tel:+6285770124299","Hubungi"
"MANSION HILL SUKAMEKAR","jl. Raya Suka Mekar, Bekasi Utara, Bekasi, Jawa Barat","","300","2","1","36 m²","Rp 5 per m²","tel:+6285770124299","Hubungi"
"Lippo Cikarang","Jl. MH. Thamrin, Kel. Sukaresmi Cibatu Serang, Cikarang Selatan, Bekasi, Jawa Barat","Rp","1,75 M","3","3","87 m²","Rp 10.937.500 per m²","tel:+6281280955433","Hubungi"
"Grand Beverly Lippo Cikarang","Jl. Palem Utama Raya, Lippo Cikarang, Bekasi, Jawa Barat","Rp","2,8 M","4","3","250 m²","Rp 11.666.667 per m²","tel:+6281280955433","Hubungi"
"Emerald Mansion Lippo Cikarang","Lippo Cikarang, Bekasi, Jawa Barat","Rp","4,9 M","4","3","275 m²","Rp 16.013.072 per m²","tel:+6281280955433","Hubungi"
"Lippo Cikarang","Jalan Danau Semayang, Cikarang Selatan, Bekasi, Jawa Barat","Rp","7,7 M","6","6","382 m²","Rp 21.329.640 per m²","tel:+628558979968","Hubungi"
"Jl. Gamprit, Pondok Gede","Jl. Gamprit II Ujung, Jatiwaringin, Pondok Gede, Jati Waringin, Bekasi, Jawa Barat","Rp","2,2 M","4","4","300 m²","Rp 11.282.051 per m²","tel:+628558979968","Hubungi"
"Rumah Pondokmelati, Bekasi","Pondokmelati, Pondokmelati, Bekasi, Jawa Barat","Rp","3,8 M","5","3","200 m²","Rp 14.074.074 per m²","tel:+6281393339935","Hubungi"
"Cluster Cibitung Strategis Dekat Tol dan Stasiun","Jl. Bosih Raya, Cibitung, Bekasi, Jawa Barat","Rp","800 jt","3","3","83 m²","Rp 10.256.410 per m²","tel:+6281284888661","Hubungi"
"Pondokgede Bekasi","Pondokgede, Pondokgede, Bekasi, Jawa Barat","Rp","2,5 M","5","4","175 m²","Rp 14.367.816 per m²","tel:+6281393339935","Hubungi"
"Dijual cepat rumah termurah di cluster ifolia harapan indah","Harapan Indah, Bekasi, Jawa Barat","Rp","1,12 M","4","3","150 m²","Rp 8.888.889 per m²","tel:+6281311338893","Hubungi"
"Di Jual Rumah di Taman Harapan Baru","Jl Harapan Baru, Harapan Baru, Bekasi, Jawa Barat","Rp","850 jt","3","2","70 m²","Rp 9.340.659 per m²","tel:+6282112825985","Hubungi"
"Dijual Rumah di Grand Wisata, Tambun Selatan, Bekasi","Jl Celebration, Tambun Selatan, Bekasi, Jawa Barat","Rp","1,9 M","4","4","123 m²","Rp 10.555.556 per m²","tel:+6282112825985","Hubungi"
"puri kemang cluster","Rawalumbu kota bekasi, Bekasi, Bekasi, Jawa Barat","Rp","500 jt","2","1","36 m²","Rp 6.944.444 per m²","tel:+6281385509873","Hubungi"
"Jati Asih Garden","Jl. Bina Asih 2, Jati Asih, Jatiasih, Bekasi, Jawa Barat","Rp","2,5 M","4","3","170 m²","Rp 8.620.690 per m²","tel:+628128788999","Hubungi"
"Rumah dijual di Harapan indah, Bekasi Barat","Bekasi Barat, Bekasi, Jawa Barat","Rp","1,325 M","3","2","100 m²","Rp 10.515.873 per m²","tel:+6281511682777","Hubungi"
"Jalan Pejuang Jaya.  Bekasi Barat","Jalan Pejuang Jaya.  Bekasi Barat, Pejuang Jaya, Bekasi, Jawa Barat","Rp","480 jt","2","1","30 m²","Rp 9.230.769 per m²","tel:+6281511682777","Hubungi"
"Rumah Baru Renovasi Cantik Murah Di Tridaya Tambun","Tridaya, Tambun, Bekasi, Jawa Barat","Rp","595 jt","3","2","60 m²","Rp 5.721.154 per m²","tel:+6281282940124","Hubungi"
"A""S Cluster","Jl. Diman RT 04/06 Kp. Payangan Jatisari, Jatiasih, Bekasi, Jawa Barat","Rp","400 jt","2","1","36 m²","Rp 6.666.667 per m²","tel:+6281285259379","Hubungi"
"Rumah 1 Lantai Bebas Banjir","Jl. Diman RT 04 RW 06 Jatisari, Jatiasih, Bekasi, Jawa Barat","Rp","390 jt","2","1","36 m²","Rp 6.500.000 per m²","tel:+6281285259379","Hubungi"
"Rumah Murah Di Wisma Asri Bekasi","Perumahan Wisma Asri, Wisma Asri, Bekasi, Jawa Barat","Rp","1,2 M","4","2","152 m²","Rp 9.375.000 per m²","tel:+6287785400054","Hubungi"
"Jatiasih","Jatiasih, Bekasi, Jawa Barat","Rp","376 jt","1","1","31 m²","Rp 7.833.333 per m²","tel:+6281574350129","Hubungi"
"Premier Residence","jalan mustika sari pengasinan, Jaka Sampurna, Bekasi, Jawa Barat","Rp","1 M","2","1","52 m²","Rp 10.869.565 per m²","tel:+6281808025133","Hubungi"
"Rumah sultan dijaka sampurna kota bekasi","Jln kh noer ali jakasampurna kota bekasi jawabarat, Jaka Sampurna, Bekasi, Jawa Barat","Rp","8,5 M","6","7","750 m²","Rp 8.095.238 per m²","tel:+6285263283888","Hubungi"
"Prima Lingkar Asri","Jl. Caman Raya, Cikunir, Bekasi, Jati Bening, Bekasi, Jawa Barat","Rp","1,65 M","3","2","145 m²","Rp 14.732.143 per m²","tel:+6281288606102","Hubungi"
"Rumah dua lantai di Duta Bumi harapan indah bekasi","Duta Bumi, Duta Bumi, Bekasi, Jawa Barat","Rp","1,15 M","3","2","195 m²","Rp 14.743.590 per m²","tel:+6287880167533","Hubungi"
"Pondok Melati Kota Bekasi","Perumahan Bulog, Jati Warna, Bekasi, Jawa Barat","Rp","3,8 M","4","3","200 m²","Rp 14.074.074 per m²","tel:+6281380849604","Hubungi"
"Rumah siap huni dibelakang harapan indah","Harapan Indah, Bekasi, Jawa Barat","Rp","485 jt","2","1","36 m²","Rp 8.083.333 per m²","tel:+6281285464349","Hubungi"
"Dijual rumah di belakang summarecon","Bantargebang, Bekasi, Jawa Barat","Rp","415 jt","2","1","45 m²","Rp 5.187.500 per m²","tel:+6281285464349","Hubungi"
"Dijual rumah perbatasan jakarta","Harapan Baru, Bekasi, Jawa Barat","Rp","375 jt","2","1","36 m²","Rp 6.250.000 per m²","tel:+6281285464349","Hubungi"
"Dijual rumah selangkah ke flyover Alindra","Tarumajaya, Bekasi, Jawa Barat","","440","2","1","36 m²","Rp 7 per m²","tel:+6281285464349","Hubungi"
"Harapan Mulya","Jl. Taruma Jaya, Setia Asih, Bekasi, Tarumajaya, Bekasi, Jawa Barat","","365","2","1","36 m²","Rp 6 per m²","tel:+6281285464349","Hubungi"
"Cluster 1 lantai strategis dekat tol jorr 2 dan kotawisata bekasi","Setu, Bekasi, Jawa Barat","Rp","400 jt","2","1","40 m²","Rp 6.349.206 per m²","tel:+62811812471","Hubungi"
"Dijual Rumah Baru 2 lantai dalam cluster di jatiwaringin pondok gede Bekasi","Jati Waringin, Bekasi, Jawa Barat","Rp","1,7 M","3","2","160 m²","Rp 13.600.000 per m²","tel:+62811812471","Hubungi"
"Rumah 2 lantai minimalis pinggir jalan raya jati asih bekasi","Jati Sari, Bekasi, Jawa Barat","Rp","625 jt","2","2","64 m²","Rp 11.363.636 per m²","tel:+62811812471","Hubungi"
"Jati warna bekasi","Jati Warna, Bekasi, Jawa Barat","Rp","1,2 M","3","2","85 m²","Rp 13.636.364 per m²","tel:+62811812471","Hubungi"
"Grand Wisata Cluster Z Living Bekasi TANPA DP langsung CICILAN  Tepi Danau 7 Jutaan","Jl. Grand Wisata Z LIving, Grand Wisata, Bekasi, Jawa Barat","Rp","1,40763 M","4","2","88 m²","Rp 21.327.727 per m²","tel:+6281219008221","Hubungi"
"Taman Sumber Jaya Asri","1 Arjuna / Warung Asem, Tambun, Bekasi, Jawa Barat","Rp","430 jt","2","1","36 m²","Rp 6.718.750 per m²","tel:+6287856669064","Hubungi"
"Rumah Siap Huni di Duta Bumi 3","Duta Bumi, Bekasi, Jawa Barat","Rp","1,2 M","4","3","170 m²","Rp 13.333.333 per m²","tel:+62818953313","Hubungi"
"Dijual Rumah 2 Lantai Siap Huni di Cluster Lotus Summarecon Bekasi","Summarecon Bekasi, Bekasi, Jawa Barat","Rp","3,4 M","4","3","200 m²","Rp 18.888.889 per m²","tel:+62817337737","Hubungi"
"Jatiwarna","Kodau jatiwarna pondok gede Bekasi, Jati Warna, Bekasi, Jawa Barat","Rp","1,15 M","4","3","110 m²","Rp 14.024.390 per m²","tel:+628993334194","Hubungi"
"Jati murni Jati warna pondok melati Bekasi","Kp sawah Jati murni Jati warna pondok melati, Jati Warna, Bekasi, Jawa Barat","Rp","695 jt","3","2","90 m²","Rp 8.797.468 per m²","tel:+628993334194","Hubungi"
"Dijual rumah BARU MEWAH MURAH di Kodau dkt ke Tol Jatibening Etty","Kodau, Jatibening Pondok Gede Bekasi Kota, Jati Bening, Bekasi, Jawa Barat","Rp","1,15 M","3","2","100 m²","Rp 10.952.381 per m²","tel:+628993334194","Hubungi"
"Kodau jati mekar Jati bening pondok Gede","Kodau jati mekar jati pondok gede Bekasi, Pondokgede, Bekasi, Jawa Barat","Rp","1,15 M","3","2","100 m²","Rp 11.165.049 per m²","tel:+628993334194","Hubungi"
"Pondok gede","Kodau Jati mekar pondok gede bekasi, Pondokgede, Bekasi, Jawa Barat","Rp","1,15 M","3","2","100 m²","Rp 10.952.381 per m²","tel:+628993334194","Hubungi"
"Jati mekar jati bening pondok gede","Kodau jati mekar jati pondok gede, Pondokgede, Bekasi, Jawa Barat","Rp","1,15 M","3","2","100 m²","Rp 10.952.381 per m²","tel:+628993334194","Hubungi"
"Rumah LRT City green Avanue bekasi timur","Jln, Bekasi Timur, Bekasi, Jawa Barat","Rp","600 jt","3","2","195 m²","Rp 4.000.000 per m²","tel:+6282190795325","Hubungi"
"Dijual Rumah 2 Lantai Pedurenan Mustikajaya Bekasi 580 jutaan","Jl. Pedurenan Mustikajaya Bekasi kota, Mustikajaya, Bekasi, Jawa Barat","Rp","580 M","2","2","52 m²","Rp 9.206.349.206 per m²","tel:+6285155434301","Hubungi"
"Dijual Rumah Baru 2 Lantai Exit tol Grand Wisata Bekasi 680 Jutaan","Jl. Gondang, RT.003/RW.005, Mustikajaya, Bekasi, Jawa Barat","Rp","680 jt","2","2","58 m²","Rp 11.333.333 per m²","tel:+6285155434301","Hubungi"
"Rumah Baru Dekat Tugu Asem Mustika Jaya Bekasi","Jl. Tugu asem Mustikajaya Bekasi, Mustikajaya, Bekasi, Jawa Barat","Rp","782 jt","3","2","70 m²","Rp 10.155.844 per m²","tel:+6285155434301","Hubungi"
"Rumah 2 Lantai di MustikaJaya Bekasi Kota 15 menit Grand Wisata Bekasi","Jl. Raya Ciketing Asem, Mustikajaya, Bekasi, Jawa Barat","Rp","735 jt","3","2","60 m²","Rp 11.136.364 per m²","tel:+6285155434301","Hubungi"
"Dijual Rumah Baru Desain Kekinian di Setu Bekasi 660 jutaan","Jl. Setu kabupaten Bekasi Jawa barat 17320, Setu, Bekasi, Jawa Barat","Rp","668 jt","2","1","32 m²","Rp 10.121.212 per m²","tel:+6285155434301","Hubungi"
"Dijual Rumah Baru 0 DP di Setu Bekasi 10 menit Grand Residence City Bekasi","Jl. Sengon Setu Bekasi, Setu, Bekasi, Jawa Barat","Rp","445 jt","2","1","42 m²","Rp 6.180.556 per m²","tel:+6285155434301","Hubungi"
"Dijual Rumah Cluster Greenwood Residence Golden City Bekasi","Blok D1 Greenwood Residence Golden City Bekasi, Bekasi Utara, Bekasi, Jawa Barat","Rp","2,3 M","5","4","134 m²","Rp 14.024.390 per m²","tel:+6281281112008","Hubungi"
"Grand Residence","Jl. Raya Setu, Cijengkol, Setu, Setu, Bekasi, Jawa Barat","Rp","727,827 jt","2","1","33 m²","Rp 11.027.682 per m²","tel:+6281211137186","Hubungi"
"Citaville Pilar Cikarang","Jl. Ki Hajar Dewantara, Cikarang, Bekasi, Jawa Barat","Rp","500 jt","2","1","38 m²","Rp 8.333.333 per m²","tel:+6281211137186","Hubungi"
"Rumah 3 KT siap huni di Cluster Samata Kota Harapan Indah Bekasi","Bekasi, Bekasi, Jawa Barat","Rp","1,49 M","3","2","114 m²","Rp 13.070.175 per m²","tel:+628111898744","Hubungi"
"Rumah Idaman Termurah Palem Lestari Sejuk Sehat 10 menit Ke Tol Jatiasih","Jl Mess Al, Jatisampurna, Bekasi, Jawa Barat","Rp","1 M","3","3","77 m²","Rp 11.904.762 per m²","tel:+6281213674484","Hubungi"
"Bumi Satria Kencana","Jl. Kalimalang, Kayu Ringin, Bekasi, Jawa Barat","Rp","3,2 M","4","3","250 m²","Rp 15.384.615 per m²","tel:+6281389143879","Hubungi"
"Rumah dijual lokasi di tambun selatan bekasi","Jln, Tambun Selatan, Bekasi, Jawa Barat","Rp","850 jt","2","1","105 m²","Rp 8.095.238 per m²","tel:+6282190795325","Hubungi"
"Rumah Baru Renovasi di Harapan Indah 1","Harapan Indah, Bekasi, Jawa Barat","Rp","1,1 M","3","1","90 m²","Rp 9.166.667 per m²","tel:+6282211111976","Hubungi"
"Di Jual Arshanta The Padjajaran Residence","Jl raya sukamanah, Karangbahagia, Bekasi, Jawa Barat","Rp","168 jt","2","1","27 m²","Rp 2.800.000 per m²","tel:+6282122211939","Hubungi"
"Di Jual Sukamanah residence","Jl raya sukamanah, Sukatani, Bekasi, Jawa Barat","Rp","168 jt","2","1","29 m²","Rp 2.800.000 per m²","tel:+6282122211939","Hubungi"
"Kota Harapan Indah Cluster Aralia","Jl. Bekasi Raya, Medan Satria, Bekasi, Medan Satria, Bekasi, Jawa Barat","Rp","1,275 M","3","2","64 m²","Rp 10.119.048 per m²","tel:+6282211111976","Hubungi"
"Dp 10 Juta Dapat Rumah Mewah, Free 3 bulan cicilan All in","jl. mh thamrin lippo cikarang, Cikarang, Bekasi, Jawa Barat","Rp","780 jt","2","2","55 m²","Rp 13.000.000 per m²","tel:+6281285564445","Hubungi"
"Dijual Rumah Sukamanah Residence","Jalan Sasak bali, Sukatani, Bekasi, Jawa Barat","Rp","168 jt","2","1","29 m²","Rp 2.800.000 per m²","tel:+6282122211939","Hubungi"
"Rumah Siap Huni di Jalan Setia Jatiwaringin Bekasi","Jalan Setia, Jati Waringin, Bekasi, Jawa Barat","Rp","1,2 M","4","2","110 m²","Rp 10.526.316 per m²","tel:+628114117118","Hubungi"
