"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Trevista Hills","Jalan raya pondok petir, Bojongsari, Depok, Jawa Barat","Rp","897,5 jt","2","1","45 m²","Rp 10.684.524 per m²","",""
"Sawangan Permai","Jl. Raya Muchtar, Sawangan, Sawangan, Depok, Jawa Barat","Rp","325 jt","2","1","36 m²","Rp 5.416.667 per m²","",""
"Rumah Siap Huni Dekat Pintu Toll Kukusan","Jl moch kahfi 1, Beji, Depok, Jawa Barat","Rp","1,525 M","4","4","130 m²","Rp 19.805.195 per m²","",""
"Dijual Rumah baru di Beji 800 jutaan",". Jl. Beji depok, Beji, Depok, Jawa Barat","Rp","800 jt","3","2","72 m²","Rp 16.000.000 per m²","",""
"Rose Garden",". Jl. Sukatani Raya, Cimanggis, Depok, Jawa Barat","Rp","899 jt","2","1","60 m²","Rp 8.561.905 per m²","",""
"Savia Premier Rumah Mewah di Cimanggis Dekat Tol Cijago, Tol Cibubur dan LRT Cibubur","Jl Nakula, Cimanggis, Depok, Jawa Barat","Rp","2,008 M","4","3","100 m²","Rp 18.592.593 per m²","",""
"Rumah Townhouse free biaya ajb bphtb strategis sebelah tol margonda depok","margonda, Margonda, Depok, Jawa Barat","Rp","1,54 M","4","4","100 m²","Rp 22.000.000 per m²","",""
"Cimanggis","Tapos, Tapos, Depok, Jawa Barat","Rp","750 jt","3","2","72 m²","Rp 12.500.000 per m²","",""
"HOT TERMURAH BANYAK PROMO FREE BIAYA BIAYA DEKET TOL CIJAGO","Cimanggis, Depok, Jawa Barat","Rp","600 jt","3","2","54 m²","Rp 10.000.000 per m²","",""
"Alesssia Sawangan. Jln. Jambu bol kel Pasir putih kec Sawangan","Jln.Jambu bol.kel.Pasir Putih.Kec Sawangan Depok, Sawangan, Depok, Jawa Barat","Rp","523 jt","2","1","45 m²","Rp 6.973.333 per m²","",""
"Rumah  Pinggir Jalan Cocok Buat Usaha 4M-an Di Depok Raya Kukusan","Jl Kukusan Raya, Beji, Depok, Beji, Depok, Jawa Barat","Rp","4,75 M","4","3","240 m²","Rp 10.393.873 per m²","",""
"Rumah 2, lt konsep milenial di Pekapuran Depok harga 800, jtan free biaya2","jln belong Pekapuran Depok, Cimanggis, Depok, Jawa Barat","Rp","800 jt","3","2","55 m²","Rp 13.333.333 per m²","",""
"Rumah 2, lt harga 800, jt an di Pekapuran Depok free biaya biaya","jln Belong Pekapuran Depok, Cimanggis, Depok, Jawa Barat","Rp","800 jt","3","2","55 m²","Rp 13.333.333 per m²","",""
"Rumah 2, Lt konsep Jepang lokasi di tapos Depok free biaya biaya","Tapos, Tapos, Depok, Jawa Barat","Rp","850 jt","3","2","65 m²","Rp 17.000.000 per m²","",""
"Perumahan minimalis berkonsep milenial , 10 menit dari stasiun Depok lama dan Depok Baru","Jl. H japat I, Sukma Jaya, Depok, Jawa Barat","Rp","799 jt","3","2","55 m²","Rp 13.316.667 per m²","",""
"Rumah premium berkonsep Jepang di lokasi tapos Depok harga mulai 800, jt an","Jln Raya Tapos Kec:Tapos Depok, Tapos, Depok, Jawa Barat","Rp","850 jt","3","2","65 m²","Rp 16.666.667 per m²","",""
"Rumah 2, lt dekat stasiun dan Tol dipusat kota Depok free biaya biaya","Jl H,Japat 1 Sukmajya Depok, Sukma Jaya, Depok, Jawa Barat","Rp","800 jt","3","2","55 m²","Rp 13.333.333 per m²","",""
"Rumah 2, lt ada balkon di Depok harga mulai 1M, an dan free biaya2","jln Raya leuwinanggung Tapos Depok, Tapos, Depok, Jawa Barat","Rp","1 M","3","2","70 m²","Rp 14.705.882 per m²","",""
"Rumah eklusif 2, Lt lokasi di Tapos Depok DP 15, Jt All in dan free biaya2","jln Luwinanggung Tapos Depok, Tapos, Depok, Jawa Barat","Rp","1 M","3","2","70 m²","Rp 14.705.882 per m²","",""
"Rumah 2, lt dekat stasiun dan pusat kota Depok harga mulai 800jt an cicilan mulai 5, jt an/bln","Jl H.Japat 1Sukmajaya Depok, Sukma Jaya, Depok, Jawa Barat","Rp","800 jt","3","2","55 m²","Rp 13.333.333 per m²","",""
"Pasir putih sawangan depok","Pasir putih sawangan, Sawangan, Depok, Jawa Barat","Rp","300 jt","2","1","45 m²","Rp 4.477.612 per m²","",""
"Rumah dijual dekat stasiun Depok Akses 2 mobil di Wadas Pitara","Jalan Wadas Pitara Pancoran mas Depok, Pancoran Mas, Depok, Jawa Barat","Rp","800 jt","3","2","70 m²","Rp 10.810.811 per m²","",""
"qonita nayara 2 residence","jl.kav tni al grand depok city, Cilodong, Depok, Jawa Barat","Rp","985 jt","3","3","80 m²","Rp 12.628.205 per m²","",""
"SAVIA PREMIER, LOKASI PINGGIR JALAN, DEKAT GERBANG TOL CIBUBUR","Jl. Raya Putri Tunggal, Cimanggis, Depok, Jawa Barat","Rp","1,7404625 M","4","3","100 m²","Rp 22.313.622 per m²","",""
"RUMAH MEWAH DEKAT PINTU TOL BEBAS BANJIR LOKASI PINGGIR JALAN RAYA","Jl. Raya Putri Tunggal, Cimanggis, Depok, Jawa Barat","Rp","1,7404625 M","4","3","100 m²","Rp 22.313.622 per m²","",""
"Rumah di depok legalitas Clear SHM, IMB sudah pecah","Jl mandiri kel-Harjamukti kec-cimanggis kota-Depok, Cimanggis, Depok, Jawa Barat","Rp","1,5262 M","3","2","90 m²","Rp 16.957.778 per m²","",""
"Perumahan Dekat LRT Cibubur","Jl Nakula Harjamukti Cimanggis, Cimanggis, Depok, Jawa Barat","Rp","1,75365 M","4","3","100 m²","Rp 22.482.692 per m²","",""
"Kausar Premier, tipe Alamanda Ready stok Jalan Bungur II, Kel-Harjamukti, Kec-Cimanggis, Kota-Depok","Jalan Bungur 2, Cimanggis, Depok, Jawa Barat","Rp","1,18033525 M","2","3","70 m²","Rp 14.394.332 per m²","",""
"Rumah 1 Lantai di Cimanggis Depok Dekat LRT Cibubur","Jalan Bungur 2, Cimanggis, Depok, Jawa Barat","Rp","892,440212 jt","2","1","42 m²","Rp 13.124.121 per m²","",""
"Sakura Garden Depok","Jl. H. Melih, Taman Merdeka, Sukmajaya, Depok, Sukma Jaya, Depok, Jawa Barat","Rp","901,5 jt","2","2","51 m²","Rp 12.697.183 per m²","",""
"Jual Rumah Siap Huni Bebas Banjir di D Mapple Residence Depok Harga All In Siap KPR","D Mapple Residence, Jl. Cagar Alam, Cipayung, Depok, Jawa Barat","Rp","690 jt","2","1","45 m²","Rp 7.931.034 per m²","",""
"Jual Rumah Siap Huni Di Permata Depok Regency Bebas Banjir Harga Nego Biaya All In Siap KPR","Permata Depok Regency, Pancoran Mas, Depok, Jawa Barat","Rp","840 jt","2","1","60 m²","Rp 11.666.667 per m²","",""
"Rumah sawangan Depok akses stategis jalan raya","Jln BSI 1 pengasingan Depok, Sawangan, Depok, Jawa Barat","Rp","675 jt","3","2","70 m²","Rp 9.375.000 per m²","",""
"Jual Cepat Rumah Luas 2 Lantai Dekat Sawangan Harga All in Bisa KPR","Limo Residence, Sawangan, Depok, Jawa Barat","Rp","1,41 M","3","3","180 m²","Rp 12.589.286 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Beji Depok Harga All In Siap KPR DP Ringan","D Mapple Residence, Jl. Cagar Alam, Beji, Depok, Jawa Barat","Rp","690 jt","2","1","45 m²","Rp 7.931.034 per m²","",""
"Jual Rumah Minimalis Siap Huni di Trevista Park Depok Harga Nego Biaya All In Siap KPR","Trevista Park, Bojongsari, Depok, Jawa Barat","Rp","1,02 M","2","2","40 m²","Rp 12.142.857 per m²","",""
"Jual Rumah Luas Siap Huni Strategis Di Cinere Depok Harga All In Siap KPR","Jalan H. Bara, Cinere, Depok, Jawa Barat","Rp","2,46 M","5","5","200 m²","Rp 18.496.241 per m²","",""
"Jual Rumah Minimalis Siap Huni Di Batu Putih Residence Cibubur Dekat Tapos Harga All In Siap KPR","Batu Putih Residence Cibubur, Tapos, Depok, Jawa Barat","Rp","2,04 M","3","2","121 m²","Rp 15.692.308 per m²","",""
"Jual Rumah Siap Huni Strategis Di Permata Depok Regency Dekat Beji Harga All In Siap KPR","Permata Depok Regency, Beji, Depok, Jawa Barat","Rp","840 jt","2","1","60 m²","Rp 11.666.667 per m²","",""
"Jual Rumah Siap Huni Bebas Banjir Strategis Dekat Tapos Harga Nego Biaya All In Siap KPR","Griya Melati Mas 2, Tapos, Depok, Jawa Barat","Rp","725 jt","2","1","71 m²","Rp 7.552.083 per m²","",""
"Cassa D'Ninety Nine","Jl. H. Dimun Raya, Sukamaju, Kec. Cilodong, Cilodong, Depok, Jawa Barat","Rp","570 jt","2","2","50 m²","Rp 14.250.000 per m²","",""
"jl kav kehakiman sawangan depok","bedahan teracce sawangan, Sawangan, Depok, Jawa Barat","Rp","540 jt","3","2","44 m²","Rp 10.800.000 per m²","",""
"Rumah Dijual Murah di Bukit Golf Cimanggis, Lahan Luas 365m², 2 Hook","Cimanggis, Depok, Jawa Barat","Rp","2,75 M","2","2","70 m²","Rp 7.534.247 per m²","",""
"Depok","Jl.H.sulaiman kav kehakiman bedahan sawangan, Sawangan, Depok, Jawa Barat","Rp","539,95 jt","3","2","44 m²","Rp 10.799.000 per m²","",""
"Rumah 2 Lantai dengan Fasilitas Eksklusif di Sawangan Depok","Sawangan, Depok, Jawa Barat","Rp","3,8 M","4","4","184 m²","Rp 20.320.856 per m²","",""
"Cluster HD Property","Jl Raya Nanggerang, Citayam, Depok, Jawa Barat","Rp","270 jt","2","1","50 m²","Rp 4.500.000 per m²","",""
"Setu golf depok","Setu golf, Kelapa Dua, Depok, Jawa Barat","Rp","1,4 M","4","2","288 m²","Rp 8.588.957 per m²","",""
"Dijual rumah di selatan Jakarta, konsep kota mandiri, dekat dengan pintu tol dan stasiun","Margonda, Depok, Jawa Barat","Rp","1,1 M","3","1","69 m²","Rp 15.277.778 per m²","",""
"Vinnara property rumah tanpa renopasi","Jalan mangga pasir putih depok, Sawangan, Depok, Jawa Barat","Rp","510 jt","2","1","45 m²","Rp 7.083.333 per m²","",""
"Hd Property",". Jl. Nanggerang Kec Tajurhalang, Cipayung, Depok, Jawa Barat","Rp","235 jt","2","1","60 m²","Rp 3.916.667 per m²","",""
"Rumah Mewah siap huni di Pekapuran Depok","Jl Setu Golf, Cimanggis, Depok, Jawa Barat","Rp","1,4 M","4","2","288 m²","Rp 10.294.118 per m²","",""
"Rumah siap huni di Pekapuran Depok","Jl Setu Golf, Cimanggis, Depok, Jawa Barat","Rp","800 jt","3","2","110 m²","Rp 10.810.811 per m²","",""
"Rumah Classic Eropa siap huni di Pekapuran Depok.","Jl Setu Golf, Cimanggis, Depok, Jawa Barat","Rp","700 jt","3","2","80 m²","Rp 13.461.538 per m²","",""
"Rumah baru minimalis modern  komplek kav. pertamina Cibubur depok","Cimanggis, Depok, Jawa Barat","Rp","1,35 M","4","2","110 m²","Rp 11.250.000 per m²","",""
"Alam raya Residence pondok rajeg","Jalan H sinan, Cilodong, Depok, Jawa Barat","Rp","469 jt","2","1","36 m²","Rp 6.337.838 per m²","",""
"Edelweis 2","Jalan ciliwung, Cilodong, Depok, Jawa Barat","Rp","265 jt","2","1","36 m²","Rp 5.888.889 per m²","",""
"Beken residence","Belakang komplek marinir, Rangkapanjaya, Depok, Jawa Barat","Rp","600 jt","2","1","45 m²","Rp 7.058.824 per m²","",""
"Trevista hills","Jalan Curug Raya no.99, Bojongsari, Depok, Jawa Barat","Rp","872,5 jt","2","1","45 m²","Rp 10.386.905 per m²","",""
"Dijual Rumah Siap Huni Permata Putri Laguna Bisa All In KPR","Cimanggis, Depok, Jawa Barat","Rp","2,999 M","4","4","150 m²","Rp 12.926.724 per m²","",""
"Dijual Cepat Rumah Strategis 2 Lantai di Permata Cimanggis Tapos Harga All In Siap Kpr","Cimanggis, Depok, Jawa Barat","Rp","1,2 M","2","2","90 m²","Rp 8.888.889 per m²","",""
"Permata Cimanggis Cluster Kumala",". Jl. Raya Tapos, Cilangkap, Cimanggis, Depok, Jawa Barat","Rp","840 jt","2","1","48 m²","Rp 10.000.000 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Sawangan Harga All In Bisa Nego Siap KPR","Jalan Melati Buana, Sawangan, Depok, Jawa Barat","Rp","710 jt","2","1","60 m²","Rp 8.255.814 per m²","",""
"Bedahan Terrace Kavling Kehakiman","Jl.H.Sulaiman Bedahan Kav.Kehakiman, Bojongsari, Depok, Jawa Barat","Rp","532,95 jt","3","2","44 m²","Rp 10.659.000 per m²","",""
"Bojong sari","Jl Masjid Al Mujahiddin, Bojongsari, Depok, Jawa Barat","Rp","594 jt","2","1","45 m²","Rp 9.900.000 per m²","",""
"Sawangan","Jl Raya Muhtar, Sawangan, Depok, Jawa Barat","Rp","594 jt","2","1","45 m²","Rp 9.900.000 per m²","",""
"Green Pitara",". Jl. Pitara, Raya, Pitara, Pancoran Mas, Depok, Jawa Barat","Rp","799 jt","3","2","70 m²","Rp 10.797.297 per m²","",""
"Anaba Townhouse","Jl. Tirtamulya, Sukma Jaya, Depok, Jawa Barat","Rp","875 jt","3","2","60 m²","Rp 12.152.778 per m²","",""
"Perumahan Batu Putih","Jl. Nusantara Raya, Cimanggis, Depok, Jawa Barat","Rp","1,6 M","4","3","110 m²","Rp 14.814.815 per m²","",""
"Cluater HD Property","Jl Nanggerang Kec Tajurhalang, Citayam, Depok, Jawa Barat","Rp","265 jt","2","1","60 m²","Rp 4.416.667 per m²","",""
"Kalimulya Depok","Jl Raya Kalimulya Depok, Depok Lama, Depok, Jawa Barat","Rp","780 jt","3","2","88 m²","Rp 9.285.714 per m²","",""
"Kalimulya Depok","Jl Raya Kalimulya Depok, Cilodong, Depok, Jawa Barat","Rp","420 jt","2","1","38 m²","Rp 5.384.615 per m²","",""
"Rumah Exclusive Pilihan Milenial Desain Minimalis Tropis Dekat Tol Antasari Andara Cinere","Pangkalan Jati, Cinere, Depok, Cinere, Depok, Jawa Barat","Rp","1,397 M","3","2","73 m²","Rp 23.283.333 per m²","",""
"Pondok petir","Jln raya pondok petir .depok jawa barat, Sawangan, Depok, Jawa Barat","Rp","917,5 jt","2","1","45 m²","Rp 10.922.619 per m²","",""
"Viosa Village","Pancoran Mas, Depok, Jawa Barat","Rp","799,9 jt","3","2","70 m²","Rp 10.388.312 per m²","",""
"Mulqi Mansion Rumah Stategis Bebas Banjir Duren Seribu Depok","Duren Seribu, Bojongsari, Depok, Jawa Barat","Rp","439 jt","2","1","36 m²","Rp 7.316.667 per m²","",""
"73 Residence, jatimulya, depok","Boulevard GDC, Cilodong, Depok, Jawa Barat","Rp","1,195 M","3","2","90 m²","Rp 11.168.224 per m²","",""
"Citayam","Jl. Cempaka Raya, Citayam Bojong Gede, Citayam, Depok, Jawa Barat","Rp","375 jt","2","1","45 m²","Rp 6.250.000 per m²","",""
"Deluxe Cluster KPR DP0% Strategis 2km Tengah Stasiun","Jalan Cempaka Raya, Citayam, Depok, Jawa Barat","Rp","375 jt","2","1","45 m²","Rp 6.250.000 per m²","",""
"Deluxe Cluster KPR DP0%. 5 Menit Stasiun Citayam & Pintu Toll","Jl. Raya Citayam No.24, Sawangan, Depok, Jawa Barat","Rp","375 jt","2","1","45 m²","Rp 6.250.000 per m²","",""
"Citayam","Jl. Kp. Baru, Citayam, Citayam, Depok, Jawa Barat","Rp","165 jt","2","1","50 m²","Rp 4.583.333 per m²","",""
"Rumah cash tidak kpr lokasi strategis dekat stasiun dicitayam","jl.raya nanggerang citayam cipayung depok, Cipayung, Depok, Jawa Barat","Rp","200 jt","2","1","30 m²","Rp 4.000.000 per m²","",""
"Cluster Muslim 2 Lantai Depok","Cilodong Jalan Muhari, Cilodong, Depok, Jawa Barat","Rp","821 jt","3","2","71 m²","Rp 9.773.810 per m²","",""
"GDC Depok","Depok Lama, Depok, Jawa Barat","Rp","980,5 jt","3","3","80 m²","Rp 10.213.542 per m²","",""
"Cilodong Depok","Sukma Jaya, Depok, Jawa Barat","Rp","981 jt","3","3","80 m²","Rp 10.780.220 per m²","",""
"Kalimulya Depok","Cilodong, Depok, Jawa Barat","Rp","980 jt","3","3","80 m²","Rp 10.208.333 per m²","",""
"anaba townhouse","jl. masjid Nurul Huda, Depok Lama, Depok, Jawa Barat","Rp","875 jt","3","2","60 m²","Rp 12.152.778 per m²","",""
"Anaba townhouse","Jl. Masjid nurul huda, Sukma Jaya, Depok, Jawa Barat","Rp","850 jt","3","2","60 m²","Rp 11.805.556 per m²","",""
"Rumah Dijual di Selatan Jakarta Konsep Kota Mandiri Dekat Pintu Tol Desari","Cinere, Depok, Jawa Barat","Rp","1,371 M","3","2","88 m²","Rp 13.057.143 per m²","",""
"Rumah Siap Huni Cash/KPR Bonus Pagar dan Kanopi","Jl Garuda 2, Sawangan, Depok, Jawa Barat","Rp","1,3 rb","4","2","80 m²","Rp 13 per m²","",""
"Rumah Siap Huni 2 Lantai Bonus Kanopi","Jl Garuda 2, Sawangan, Depok, Jawa Barat","","650","3","1","80 m²","Rp 11 per m²","",""
"Rumah Trevista Hills Depok Murah Desain Atelierriri","Jalan Pondok Petir Raya No.99, Sawangan, Depok, Jawa Barat","Rp","787,5 jt","2","1","45 m²","Rp 9.375.000 per m²","",""
"Rumah Promo Dijual Murah Depok dekat Toll Sawangan","Jl. Raya Sawangan gg Atas, Mampang,, Pancoran Mas, Depok, Jawa Barat","Rp","360 jt","2","1","40 m²","Rp 6.000.000 per m²","",""
"Griya Mahari","Jalan Muhari Jatimulya Cilodong Depok, Cilodong, Depok, Jawa Barat","Rp","691 jt","3","2","66 m²","Rp 11.516.667 per m²","",""
"Rumah 1 lantai dekat dengan pintu tol Cimanggis","Jl. Arjuna, Tapos, Kec. Tapos, Tapos, Depok, Jawa Barat","Rp","400 jt","2","1","30 m²","Rp 7.142.857 per m²","",""
"2 Bedrooms Rumah Citayam, Depok, Jawa Barat","Citayam, Depok, Jawa Barat","Rp","200 jt","2","1","60 m²","Rp 3.333.333 per m²","",""
"depok","harjamukti, Harjamukti, Depok, Jawa Barat","Rp","850 jt","3","2","65 m²","Rp 9.444.444 per m²","",""
"Rumah mewah 1 lantai dekat dengan tol Cimanggis","Gg. Pale No.120, RW.6, Sukamaju Baru, Kec. Tapos, Tapos, Depok, Jawa Barat","Rp","563 jt","2","1","37 m²","Rp 9.229.508 per m²","",""
"Perumnas Depok Utara",". Jl. Nusantara Raya, Depok Jaya, Depok, Pancoran Mas, Depok, Jawa Barat","Rp","310 jt","2","1","76 m²","Rp 4.078.947 per m²","",""
"Trevista hills 0812 9657 5460","Jl pondok Petier raya No.99, Bojongsari, Depok, Jawa Barat","Rp","897,5 jt","2","1","49 m²","Rp 10.684.524 per m²","",""
"Jual Rumah Siap Huni Bebas Banjir Strategis di Griya Melati Mas 2 Harga All In Siap KPR","Griya Melati Mas 2, Cilodong, Depok, Jawa Barat","Rp","725 jt","2","1","71 m²","Rp 7.552.083 per m²","",""
"Bedahan Terrace","Jl.H.sulaiman kapling kehakiman, Sawangan, Depok, Jawa Barat","Rp","529 jt","3","2","44 m²","Rp 10.580.000 per m²","",""
"Sawangan depok","Jl .asalam pangugulan kel.pengasinan bsi, Sawangan, Depok, Jawa Barat","Rp","439 jt","3","2","44 m²","Rp 8.780.000 per m²","",""
"Panorama Cibubur Residence","Jalan Pedurenan Cisalak Cimanggis, Cimanggis, Depok, Jawa Barat","Rp","895 jt","3","2","78 m²","Rp 14.672.131 per m²","",""
"Rumah Minimalis di Depok, Jawa Barat","Depok Lama, Depok, Jawa Barat","Rp","1,3 M","4","3","100 m²","Rp 13.265.306 per m²","",""
"Di Jual Rumah Minimalis Full Furnish dekat Tol di Tanah Baru- Depok","Tanah Baru, Depok, Jawa Barat","Rp","1,33 M","4","3","90 m²","Rp 13.300.000 per m²","",""
"Di jual rumah 2 lantai konsep kota mandiri di selatan jakarta dekat dengan toll sawangan","Cinere, Depok, Jawa Barat","Rp","1,4 M","3","2","88 m²","Rp 13.333.333 per m²","",""
"Dijual Rumah Siap Huni di Cluster Cinere Modern 2 Menit ke Tol Limo Gratis Biaya KPR","Limo, Depok, Jawa Barat","Rp","1,5 M","4","3","150 m²","Rp 10.000.000 per m²","",""
"Rumah Minimalis Cicilan 2jutaan","Sawangan, Depok, Jawa Barat","Rp","299 jt","2","1","45 m²","Rp 4.746.032 per m²","",""
"Pondok Sukmajaya Permai","Jl Tole Iskandar, Sukmajaya, Sukma Jaya, Depok, Jawa Barat","Rp","700 jt","3","2","61 m²","Rp 5.555.556 per m²","",""
"Cilodong depok","Cilodong, Depok, Jawa Barat","Rp","650 jt","2","1","60 m²","Rp 18.055.556 per m²","",""
"The Cozy Green Cibubur Mansion",". Jl. Sari Nembah, Cimanggis, Depok, Jawa Barat","Rp","825 jt","2","2","90 m²","Rp 10.576.923 per m²","",""
"Di jual rumah siap huni posisi hook","Jl garuda 2, Sawangan, Depok, Jawa Barat","Rp","350 jt","2","1","40 m²","Rp 5.833.333 per m²","",""
"cluster dekat stasiun citayam","jalan tugu macan citayam bojong, Citayam, Depok, Jawa Barat","Rp","466 jt","2","1","40 m²","Rp 6.657.143 per m²","",""
"Rumah 2 lantai deket tol andara","Jl.al hidayah,pangkalan jati, Pondok Labu, Depok, Jawa Barat","Rp","875 jt","4","3","69 m²","Rp 8.413.462 per m²","",""
"500 meter ke pintu tol krukut","Cinere, Depok, Jawa Barat","Rp","1,722 M","4","4","155 m²","Rp 20.500.000 per m²","",""
"Rumah baru 2 lantai 700 jt an Beji Depok","Tanah baru, Beji, Depok, Jawa Barat","Rp","772 jt","3","2","51 m²","Rp 13.310.345 per m²","",""
"Medhina Residence 3","Jalan Garuda 3, Sawangan, Depok, Jawa Barat","Rp","450 jt","2","1","40 m²","Rp 6.617.647 per m²","",""
"Gardens At Candi Sawangan","Jalan Cinangkaraya, Depok, Jawa Barat","Rp","691 jt","2","1","35 m²","Rp 11.516.667 per m²","",""
"Shila At Sawangan","Jl. Raya Bojongsari No.53, Bojongsari Lama, Sawangan, Depok, Jawa Barat","Rp","1,9 M","3","2","110 m²","Rp 19.387.755 per m²","",""
"Kuntaboja Residence 8","Jalan Bungsan, Sawangan, Depok, Jawa Barat","Rp","847 jt","3","2","98 m²","Rp 10.204.819 per m²","",""
"Depok","Jl.A Salam, Panggulan, Kel.Pengasinan, BSI, Sawangan, Depok, Jawa Barat","Rp","487,5 jt","3","2","44 m²","Rp 8.552.632 per m²","",""
"Rumah murah Depok","Citayam, Depok, Jawa Barat","Rp","372 jt","2","1","28 m²","Rp 4.960.000 per m²","",""
"Whitehouse 5","JL. Mandor Samin, Cimanggis, Depok, Jawa Barat","Rp","485 jt","3","","60 m²","Rp 16.166.667 per m²","",""
"New Cluster 700 jt an Cimanggis Depok","Gas Alam, Cimanggis, Depok, Jawa Barat","Rp","770 jt","3","2","72 m²","Rp 12.833.333 per m²","",""
"New Cluster 700 jt an Mekarsari Depok","Radar Auri, Cimanggis, Depok, Jawa Barat","Rp","730 jt","3","2","60 m²","Rp 15.531.915 per m²","",""
"Di Jual Rumah Minimalis Bonus Kanopi","Pasir putih, Sawangan, Depok, Jawa Barat","","350","2","1","45 m²","Rp 5 per m²","",""
"Rumah Cilodong Depok.","Cilodong, Depok, Jawa Barat","Rp","970 jt","3","3","70 m²","Rp 12.435.897 per m²","",""
"Grand Depok City","Jalan Boulevar Grand Depok City, Cilodong, Depok, Jawa Barat","Rp","808 jt","3","3","65 m²","Rp 12.059.701 per m²","",""
"Rumah 2 lantai 800 meter ke tol desari semi furnish","Samudera, Limo, Depok, Jawa Barat","Rp","865 jt","3","3","80 m²","Rp 17.300.000 per m²","",""
"Di Jual Rumah Terlaris Bonus Kanopi","Pasir putih, Sawangan, Depok, Jawa Barat","","350","2","1","45 m²","Rp 5 per m²","",""
"DIJUAL! Rumah Jl. Anggrek 6C Megapolitan Cinere","Jl. Anggrek 6C Megapolitan Cinere, Cinere, Depok, Jawa Barat","Rp","2,7 M","6","6","260 m²","Rp 16.463.415 per m²","",""
"Cipayung depok","Cipayung, Depok, Jawa Barat","Rp","330 jt","2","1","32 m²","Rp 5.500.000 per m²","",""
"Rumah Dijual Cepat Dekat RTM Green Village Juanda Depok","Jl. H Solichin, Sukma Jaya, Depok, Sukma Jaya, Depok, Jawa Barat","Rp","1,293 M","3","2","107 m²","Rp 15.578.313 per m²","",""
"Rumah Dijual Cepat di Depok Rumah 2 Lantai Green Village Juanda Depok","Jl H Solihin, Sukma Jaya, Depok, Jawa Barat","Rp","1,293 M","3","2","107 m²","Rp 15.578.313 per m²","",""
"Rumah Dijual Cepat di Depok Dekat RTM Green Village Juanda Depok","Jl. H Solichin Sukma Jaya Depok, Sukma Jaya, Depok, Jawa Barat","Rp","1,293 M","3","2","107 m²","Rp 15.578.313 per m²","",""
"Rumah Dijual di Sukmajaya Depok Rumah 2 Lantai Dekat RTM Depok","Jl H Solichin Sukma Jaya Depok, Sukma Jaya, Depok, Jawa Barat","Rp","1,293 M","3","2","107 m²","Rp 15.578.313 per m²","",""
"Telaga Golf",". Raya Sawangan, Sawangan, Depok, Jawa Barat","Rp","1,7 M","4","3","200 m²","Rp 5.666.667 per m²","",""
"Rumah Murah Sawangan 2 Lt 3 Kmr 600 Jt-an DP NOL Grand Prestige Sawangan","Jl. Sawangan Permai, Sawangan, Depok, Jawa Barat","Rp","600 jt","3","2","52 m²","Rp 10.000.000 per m²","",""
"Dijual Rumah Radar Auri Mekarsari Cimanggis Depok Dekat Jakarta Timur Free Biaya","Jalan tipar raya 50 ke radar auri, Cimanggis, Depok, Jawa Barat","Rp","800 jt","3","2","61 m²","Rp 10.126.582 per m²","",""
"Sawangan","Jalan Pasir Putih, Sawangan, Depok, Sawangan, Depok, Jawa Barat","Rp","399,9 jt","2","1","40 m²","Rp 6.665.000 per m²","",""
"Di jual rumah sawangan depok","Jl. Jalan Atas Mampang depok, Pancoran Mas, Depok, Jawa Barat","Rp","300 jt","2","1","36 m²","Rp 5.555.556 per m²","",""
"Rumah mewah dalam komplek pangkalqn jqti golf","Pangkalan jati golf, Pangkalan Jati, Depok, Jawa Barat","Rp","6,2 M","4","4","400 m²","Rp 20.805.369 per m²","",""
"Villa Prima Sentosa Depok","Jl H Sulaiman No 2, Sawangan, Depok, Jawa Barat","Rp","450 jt","","","42 m²","Rp 7.500.000 per m²","",""
"Villa Prima Depok Sawangan","Jl H Sulaiman No 2 Bedahan Sawangan Depok, Sawangan, Depok, Jawa Barat","Rp","450 jt","","","42 m²","Rp 7.500.000 per m²","",""
"Villa Santika",". Raya Grogol, Cinere, Depok, Jawa Barat","Rp","649,244349 jt","2","1","60 m²","Rp 8.431.745 per m²","",""
"Vila Santika","Jl Pancoran Mas Raya, Pancoran Mas, Depok, Pancoran Mas, Depok, Jawa Barat","Rp","650 jt","2","1","60 m²","Rp 8.441.558 per m²","",""
"Elfata Residence, Kalimulya  Depok","Sukma Jaya, Depok, Jawa Barat","Rp","795 jt","3","2","87 m²","Rp 11.865.672 per m²","",""
"Sukmajaya","Sukma Jaya, Depok, Jawa Barat","Rp","1,3 M","2","1","135 m²","Rp 7.647.059 per m²","",""
"Rumah Dekat RS Brimob","Kelapa Dua, Depok, Jawa Barat","Rp","890 jt","4","3","130 m²","Rp 14.354.839 per m²","",""
"Pesona Cinangka Asri","Jl. Abdul Wahab, Cinangka, Sawangan, Depok, Jawa Barat","Rp","760 jt","3","2","110 m²","Rp 13.818.182 per m²","",""
"Rumah lahan besar dekat tol desari kamar tidur 3 di Pancoran mas depok","Rangkapan jaya, Pancoran Mas, Depok, Jawa Barat","Rp","775 jt","3","2","75 m²","Rp 8.516.484 per m²","",""
