"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","hidden-sm","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Metland Menteng","Jalan. Hamengkubuwono IX Ujung Menteng, Cakung, Jakarta Timur, DKI Jakarta","Rp","1,6 M","3","2","69 m²","Hubungi","","",""
"SYNTHESIS HUIS","8A Jl. Pedati Selatan, Pasar Rebo, Jakarta Timur, DKI Jakarta","Rp","1,7 M - Rp 1,9 M","2","2","73 m²","Hubungi","","",""
"Griya Seroja Pesanggrahan","35 Jl. Seroja, Bintaro, Jakarta Selatan, DKI Jakarta","Rp","1 M","4","4","60 m²","Hubungi","","",""
"Cluster Daun Pisangan Baru","Jl Pisangan Baru Utara Kel Pisangan, Matraman, Jatinegara, Jakarta Timur, DKI Jakarta","Rp","790 jt","2","2","60 m²","Hubungi","Rp 21.351.351 per m²","",""
"DI JUAL Rumah Villa Hijau - Pondok Indah","Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","12 M","6","5","400 m²","Hubungi","Rp 39.087.948 per m²","",""
"Rumah Brand New 2lt opsi Attic type 3KT Cluster Yarra Seine Essence JGC Jakarta Garden City","jakarta garden city, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","1,55 M","3","3","74 m²","Hubungi","Rp 23.484.848 per m²","",""
"Jual Rumah Minimalis Siap Huni Strategis Dekat Duren Sawit Harga All In Siap KPR","Jatinegara Indah, Duren Sawit, Jakarta Timur, DKI Jakarta","Rp","2,52 M","3","3","115 m²","Hubungi","Rp 14.000.000 per m²","",""
"Rumah di Buaran Duren Sawit","Jl. Raya Buaran, Buaran, Jakarta Timur, DKI Jakarta","Rp","2,3 M","4","3","108 m²","Hubungi","Rp 25.555.556 per m²","",""
"Cipinang kebembem","Jalan Cipinang kebembem, Cipinang, Jakarta Timur, DKI Jakarta","Rp","1,0371 M","2","2","71 m²","Hubungi","Rp 28.808.333 per m²","",""
"Townhouse Kranggan Indah","Jl. Pertamina B No.133 Kranggan Raya, Cibubur, Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,25 M","3","4","103 m²","Hubungi","Rp 12.886.598 per m²","",""
"Puri Gardenia",". Jl. Peta Barat, Kali Deres, Jakarta, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","3 M","3","3","350 m²","Hubungi","Rp 12.145.749 per m²","",""
"ANA*GREAT-DEAL! ! - Di KAV. POLRI* - RUMAH BARU FURNISH, INTERIOR MEWAH DESIGN MODERN, 3. 5LANTAI HADAP","Jelambar - W A - 0 8 5 2 1 5 0 5 1 1 2 2 - *ANA*., Jelambar, Jakarta Barat, DKI Jakarta","Rp","3,98 M","5","5","208 m²","Hubungi","Rp 46.279.070 per m²","",""
"Grisenda Puri Grisenda","Jl Kapuk Kamal Raya, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","3 M","4","3","190 m²","Hubungi","Rp 40.000.000 per m²","",""
"Brand New Rumah Pantai Indah kapuk","Elang laut, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","14 M","4","6","350 m²","Hubungi","Rp 46.666.667 per m²","",""
"HOT DEAL! ! CLUSTER MEWAH TYPE 2 LANTAI STRATEGIS FREE BIAYA BIAYA","Cibubur, Jakarta Timur, DKI Jakarta","Rp","700 jt","3","2","60 m²","Hubungi","Rp 13.725.490 per m²","",""
"rumah ada kolam renang jual cepat kafi terrace jagakarsa jakarta selatan","kafi terrace jagakarsa jakarta selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","5,9 M","4","3","168 m²","Hubungi","Rp 29.500.000 per m²","",""
"dijual rumah siap huni nyaman asri di cluster royal residence pulo gebang cakung jakarta","royal residence pulo gebang cakung jakarta timur, Cakung, Jakarta Timur, DKI Jakarta","Rp","3,9 M","5","6","326 m²","Hubungi","Rp 13.494.810 per m²","",""
"Dijual Rumah Mewah, Mezzanine, Cantik Harga 1Man","Jalan Gongseng, Pasar Rebo, Jakarta Timur, Pasar Rebo, Jakarta Timur, DKI Jakarta","Rp","1,35 M","4","2","95 m²","Hubungi","Rp 18.750.000 per m²","",""
"Strategis utk Usaha","Jl.Mesjid Alwustho No.5, Pondok Kelapa, Jakarta Timur, DKI Jakarta","Rp","4 M","9","5","300 m²","Hubungi","Rp 20.000.000 per m²","",""
"Wisteria Metland Menteng Jakarta Timur Dijual Rumah","Cakung, Jakarta Timur, DKI Jakarta","Rp","2,35 M","3","2","79 m²","Hubungi","Rp 27.976.190 per m²","",""
"Strategis Cocok Utk Usaha","Jl. Mesjid Alwustho, Pondok Bambu, Jakarta Timur, DKI Jakarta","Rp","4 M","8","4","300 m²","Hubungi","Rp 20.000.000 per m²","",""
"Strategis Murah Bwh NJOP","Kemang Utara 9 No 63, Kemang, Jakarta Selatan, DKI Jakarta","Rp","20 M","5","4","800 m²","Hubungi","Rp 19.047.619 per m²","",""
"Pinggir Jl Raya Hrga Bwh NJOP","Jl. Kemang Utara 9 No.63, Kemang, Jakarta Selatan, DKI Jakarta","Rp","20 M","5","4","800 m²","Hubungi","Rp 19.047.619 per m²","",""
"Primera Town House",". Jl. Kemang Utara 9, Kemang, Jakarta Selatan, DKI Jakarta","Rp","20 M","5","4","800 m²","Hubungi","Rp 19.047.619 per m²","",""
"kemang","Jl. Kemang Utara 9, Kemang, Jakarta Selatan, DKI Jakarta","Rp","20 jt","5","4","800 m²","Hubungi","Rp 19.048 per m²","",""
"Kemang Utara","Kemang Utara 9, Kemang, Jakarta Selatan, DKI Jakarta","Rp","20 M","5","4","800 m²","Hubungi","Rp 19.047.619 per m²","",""
"Salon dan Kost Strategis Pinggir Jalan Raya","Jl. Mesjid Alwustho No.5, Rawa Domba, Pondok Bambu, Jakarta Timur, DKI Jakarta","Rp","4 M","5","6","300 m²","Hubungi","Rp 20.000.000 per m²","",""
"Jl. Mesjid Al Wustho No. 5","Jl. Mesjid Al Wustho No.5, Pondok Bambu, Jakarta Timur, DKI Jakarta","Rp","4 M","9","5","300 m²","Hubungi","Rp 20.000.000 per m²","",""
"Salon Dan Kost2an","Jl. Mesjid Alwustho No.5, Pondok Bambu, Jakarta Timur, DKI Jakarta","Rp","4 M","9","5","300 m²","Hubungi","Rp 20.000.000 per m²","",""
"Rumah cilandak luxury semi  furnished","Jl. Madrasah cilandak jakarta selatan, Cinere, Jakarta Selatan, DKI Jakarta","Rp","19 M","6","5","600 m²","Hubungi","Rp 46.913.580 per m²","",""
"JUAL CEPAT RUMAH CIPETE JAKARTA SELATAN SEMI FURNISHED","Jl. Cipete jakarta selatan, Cipete, Jakarta Selatan, DKI Jakarta","Rp","6 M","6","5","262 m²","Hubungi","Rp 34.285.714 per m²","",""
"Jual Rumah Cepat Bebas Banjir Di Graha 2 Cinere Dekat Cirendeu Jaksel Harga All In Nego Bisa KPR","Cirendeu, Jakarta Selatan, DKI Jakarta","Rp","1,92 M","2","3","160 m²","Hubungi","Rp 11.497.006 per m²","",""
"RUMAH PEJATEN JAKARTA SELATAN BAGUS DAN MURAH","Jl. Hidayah pejaten jakarta pusat, Pejaten, Jakarta Selatan, DKI Jakarta","Rp","4,4 M","5","4","180 m²","Hubungi","Rp 26.666.667 per m²","",""
"RUMAH FULL FURNISHED AMPERA KEMANG JAKARTA SELATAN","Jl.ampera jakarta selatan, Ampera, Jakarta Selatan, DKI Jakarta","Rp","15,5 M","4","4","450 m²","Hubungi","Rp 48.895.899 per m²","",""
"RUMAH PONDOK INDAH JAKARTA SELATAN HARGA BAGUS","Jl. Pondok indah jakarta selatan, Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","18 M","5","5","700 m²","Hubungi","Rp 51.136.364 per m²","",""
"Rumah Tinggal di Setiabudi V","Jl. Setiabudi V, Setia Budi, Jakarta Selatan, DKI Jakarta","Rp","12 M","4","3","200 m²","Hubungi","Rp 48.000.000 per m²","",""
"Palmerah Residence","Palmerah Utara IV, Jakarta, Palmerah, Jakarta Barat, DKI Jakarta","Rp","9,5 M","7","7","670 m²","Hubungi","Rp 46.341.463 per m²","",""
"Pantai Indah Kapuk","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","8,5 M","4","3","350 m²","Hubungi","Rp 28.333.333 per m²","",""
"Kemang","Kemang, Kemang, Jakarta Selatan, DKI Jakarta","Rp","1,1 M","5","4","1000 m²","Hubungi","Rp 916.667 per m²","",""
"Dijual murah rumah rumah pik golf island 8x20","Pantai Indah kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","5,4 M","3","3","240 m²","Hubungi","Rp 1.875.000 per m²","",""
"Rumah murah cantik minimalis cluster deket plaza Cibubur/tol Cibubur","Jln kranggan permai Cibubur Jatisampurna Bekasi, Cibubur, Jakarta Timur, DKI Jakarta","Rp","675 jt","3","2","60 m²","Hubungi","Rp 11.637.931 per m²","",""
"Rumah murah minimalis deket pintu tol setu/mabes TNI AU cilangkap","Jln raya pondok Ranggon perbatasan Cilangkap, Cilangkap, Jakarta Timur, DKI Jakarta","Rp","590 jt","3","2","60 m²","Hubungi","Rp 13.111.111 per m²","",""
"Rumah dengan bangunan baru lokasi di Jakarta Selatan 5 menit ke  Pondok Indah Mall","Pondok Pinang, Jakarta Selatan, DKI Jakarta","Rp","3,415475 M","3","3","145 m²","Hubungi","Rp 43.788.141 per m²","",""
"Cluster Termurah 2 Lantai Di Tanggerang Dekat Stasiun","Jl. Karyawan I No.2, RT.002/RW.010, Karang Tengah, Cirendeu, Jakarta Selatan, DKI Jakarta","Rp","950 jt","3","2","65 m²","Hubungi","Rp 19.000.000 per m²","",""
"Jual Rumah Seken Dekat Cibubur Bebas Banjir Harga All In Bisa Nego Siap KPR","Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,08 M","2","2","90 m²","Hubungi","Rp 10.285.714 per m²","",""
"Dijual Rumah Bebas Banjir Siap Huni Dekat Cibubur Harga All In Bisa Nego Siap KPR","Cibubur, Jakarta Timur, DKI Jakarta","Rp","810 jt","2","1","45 m²","Hubungi","Rp 6.923.077 per m²","",""
"Rumah Mewah Hitung Tanah Di Permata Hijau Jakarta Selatan","Jalan Permata Boulevard Barat Blok F No. 3, Permata Hijau, Jakarta Selatan, DKI Jakarta","Rp","44,35 M","5","4","1250 m²","Hubungi","Rp 42.644.231 per m²","",""
"Citra Garden 7","Citra Garden, Jakarta Barat, DKI Jakarta","Rp","5,7 M","4","4","270 m²","Hubungi","Rp 22.352.941 per m²","",""
"Puri Gardenia",". Jl. Peta Barat, Kali Deres, Jakarta, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","2,75 M","5","3","220 m²","Hubungi","Rp 19.097.222 per m²","",""
"Cibubur","Cibubur Jl. Akses Tol Cimanggis, Cikeas, Cibubur, Jakarta Timur, DKI Jakarta","Rp","500 jt","2","1","33 m²","Hubungi","Rp 8.333.333 per m²","",""
"Agung Permai","Agung Permai, Sunter, Jakarta Utara, DKI Jakarta","Rp","3,5 M","4","3","150 m²","Hubungi","Rp 33.333.333 per m²","",""
"Rumah Asri di Sunrise Garden","Kebon Jeruk, Jakarta Barat, DKI Jakarta","Rp","5,5 M","4","4","198 m²","Hubungi","Rp 27.500.000 per m²","",""
"Dijual Rumah  Baru di Sunter Karya, Jakarta Utara","Sunter, Jakarta Utara, DKI Jakarta","Rp","2,3 M","3","3","202 m²","Hubungi","Rp 34.328.358 per m²","",""
"Jual Rumah 2 Lantai di Perum Matoa Hill Dekat Jagakarsa Siap Huni Harga All In Siap KPR","Perum Matoa Hill, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","1,98 M","3","2","105 m²","Hubungi","Rp 20.842.105 per m²","",""
"Meruya","Meruya, Meruya, Jakarta Barat, DKI Jakarta","Rp","2,5 M","4","4","175 m²","Hubungi","Rp 20.000.000 per m²","",""
"Meruya","Meruya, Meruya, Jakarta Barat, DKI Jakarta","Rp","2,1 M","3","3","132 m²","Hubungi","Rp 28.000.000 per m²","",""
"RUMAH CANTIK DEKAT GERBANG TOL CIBUBUR HARGA 800 JUTAAN","Jl. Bungur, Cibubur, Jakarta Timur, DKI Jakarta, Cibubur, Jakarta Timur, DKI Jakarta","Rp","892,440212 jt","2","1","42 m²","Hubungi","Rp 13.124.121 per m²","",""
"Dijual Rumah 2 Lantai Minimalis Sekitar Puri Indah","Taman Semanan Indah, Jakarta Barat, DKI Jakarta","Rp","2,45 M","3","3","136 m²","Hubungi","Rp 20.416.667 per m²","",""
"Dijual Rumah Siap Huni 2 Lantai di Cakung Harga Nego Biaya All In Siap KPR","Metland Menteng Cluster Savana, Cakung, Jakarta Timur, DKI Jakarta","Rp","2,6325 M","3","4","110 m²","Hubungi","Rp 21.937.500 per m²","",""
"Jual Rumah Minimalis Siap Huni Bebas Banjir Dekat Pondok Kelapa Harga All In Siap KPR","Jatinegara Indah, Pondok Kelapa, Jakarta Timur, DKI Jakarta","Rp","2,52 M","3","3","115 m²","Hubungi","Rp 14.000.000 per m²","",""
"Jual Cepat Rumah Siap Huni di Jatinegara Indah Harga All In Bisa Nego Siap KPR","Jatinegara Indah, Jatinegara, Jakarta Timur, DKI Jakarta","Rp","2,52 M","3","3","115 m²","Hubungi","Rp 14.000.000 per m²","",""
"Jual Rumah Siap Huni di Jatinegara Indah Jaktim Harga Nego Biaya All In Siap KPR","Jatinegara Indah, Cakung, Jakarta Timur, DKI Jakarta","Rp","2,52 M","3","3","115 m²","Hubungi","Rp 14.000.000 per m²","",""
"Maison de wisteria","Jl boulevard, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","3,73959 M","5","3","144 m²","Hubungi","Rp 31.163.250 per m²","",""
"Wisteria Jakarta Garden City","Jakarta Garden City, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","2,4 M","3","2","79 m²","Hubungi","Rp 28.571.429 per m²","",""
"Dijual Rumah 2 Lantai Harga All In Terbaik Dekat Kelapa Gading Siap Huni Siap KPR","Metland Menteng Cluster Savana, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","2,6325 M","3","4","110 m²","Hubungi","Rp 21.937.500 per m²","",""
"Jual Rumah Bebas Banjir Di Permata Puri Laguna Dekat Cibubur Harga All In Siap KPR","Perumahan Permata Puri Laguna, Cibubur, Jakarta Timur, DKI Jakarta","Rp","2,999 M","4","4","150 m²","Hubungi","Rp 12.926.724 per m²","",""
"Jual Cepat Rumah Siap Huni Strategis Dekat Cibubur Harga Nego Biaya All In Siap KPR","Bumi Kemang Indah, Cibubur, Jakarta Timur, DKI Jakarta","Rp","870 jt","3","2","90 m²","Hubungi","Rp 7.310.924 per m²","",""
"Jual Rumah 2 Lantai Siap Huni Strategis Dekat Kebayoran Lama Harga All In Siap KPR","Taman Cipulir Estate, Kebayoran Lama, Jakarta Selatan, DKI Jakarta","Rp","2,6 M","4","3","350 m²","Hubungi","Rp 13.000.000 per m²","",""
"Jual Cepat Rumah Bebas Banjir Dekat Kebon Jeruk Harga Nego Biaya All In Bisa KPR","Kembangan Baru, Kebon Jeruk, Jakarta Barat, DKI Jakarta","Rp","2,34 M","3","2","120 m²","Hubungi","Rp 24.123.711 per m²","",""
"Rumah 2lt luas 9x17 148 type 3KT sudah renoved cluster zebrina cassia JGC Jakarta Garden City Cakung","jakarta garden city 13910, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","2,3 M","3","3","156 m²","Hubungi","Rp 15.540.541 per m²","",""
"Rumah 2 lantai siap huni 9x17 type 3KT cluster cassia JGC Jakarta Garden City Cakung","clsuter cassia jakarta garden city cakung, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","2,6 M","3","3","156 m²","Hubungi","Rp 17.567.568 per m²","",""
"Rumah siap huni 2 lantai lebar 10x20 200m2 type 3KT Cluster Dbanyan JGC Jakarta Garden City Cakung","cluster dbanyan jakarta garden city cakung, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","4 M","4","3","197 m²","Hubungi","Rp 20.000.000 per m²","",""
"Rumah 2 lantai Siap Huni lebar 7x15 104m type 3KT cluster Alamanda JGC Jakarta Garden City","cluster alamanda jakarta garden city, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","2 M","3","2","94 m²","Hubungi","Rp 19.230.769 per m²","",""
"Rumah siap huni 2 lantai luas 6x15 90m2 Type 3KT di Cluster Thames JGC Jakarta Garden City","cluster thames jakarta garden city cakung, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,6 M","3","2","75 m²","Hubungi","Rp 17.777.778 per m²","",""
"Rumah siap huni luas 9x14 126m2 type 4KT Cluster Semayang Asya JGC Jakarta Garden City","cluster semayang asya jakarta gardebn city cakung, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","3,3 M","4","4","146 m²","Hubungi","Rp 26.190.476 per m²","",""
"Rumah Siap Huni 2 lantai luas 6x15 (90m) type 3+1KT cluster Shinano JGC Jakarta Garden City Cakung","cluster shinano jakarta garden city 13910, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,649 M","3","2","100 m²","Hubungi","Rp 18.322.222 per m²","",""
"Rumah 2 lantai siap huni sudah renoved 10x22 220m type 4KT cluster palm spring JGC Jakarta Garden Ci","jakarta garden city, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","4,5 M","4","3","240 m²","Hubungi","Rp 20.454.545 per m²","",""
"Rumah mewah minimalis brand new 358m 13x28 hoek katamaran indah PIK pantai indah kapuk Jakarta utara","katamaran indah pantai indah kapuk 14550, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","17,8 M","5","5","800 m²","Hubungi","Rp 49.720.670 per m²","",""
"Jual Cepat Rumah Seken Terawat Strategis Dekat Cibubur Harga Nego Biaya All In Siap KPR","Komplek Omma Indah I, Jl. Gandaria, Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,02 M","3","2","140 m²","Hubungi","Rp 8.500.000 per m²","",""
"Jual Cepat Rumah Bebas Banjir Dekat Kebon Jeruk Harga Nego Biaya All In Siap KPR","Kembangan Baru, Grogol Petamburan, Jakarta Barat, DKI Jakarta","Rp","2,34 M","3","2","120 m²","Hubungi","Rp 24.123.711 per m²","",""
"Jual Rumah Seken Terawat Strategis Dekat Cibubur Harga All In Bisa Nego Siap KPR","Limus Pratama Regency, Cibubur, Jakarta Timur, DKI Jakarta","Rp","570 jt","2","1","60 m²","Hubungi","Rp 7.916.667 per m²","",""
"Jual Rumah Strategis Siap Huni di Kembangan Baru Jakarta Barat Harga All In Siap KPR","Kembangan Baru, Cengkareng, Jakarta Barat, DKI Jakarta","Rp","2,34 M","3","2","120 m²","Hubungi","Rp 24.123.711 per m²","",""
"Jual Rumah Siap Huni Di Graha 2 Cinere Strategis Dekat Jagakarsa Harga All In Siap KPR","Graha 2 Cinere, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","1,92 M","2","3","160 m²","Hubungi","Rp 11.497.006 per m²","",""
"Cluster Angkasa Kecil","Jl. Angkasa Kecil, Kemayoran, Jakarta Pusat, DKI Jakarta","Rp","444 jt","2","2","42 m²","Hubungi","Rp 16.444.444 per m²","",""
"Cluster Taman Sari","Jl. Taman Sari III, Taman Sari, Jakarta Barat, DKI Jakarta","Rp","562 jt","2","2","42 m²","Hubungi","Rp 25.545.455 per m²","",""
"Dijual Rumah Asri Bebas Banjir di Bukit Golf Riverside Harga Nego Biaya All In Siap KPR","Bukit Golf Riverside, Cibubur, Jakarta Timur, DKI Jakarta","Rp","2,55 M","3","3","160 m²","Hubungi","Rp 15.454.545 per m²","",""
"Rumah cantik kemandoran permata hijau segera survey yuk","Dekat dengan patal senayan, Kemandoran, Jakarta Selatan, DKI Jakarta","Rp","9,95 M","4","3","400 m²","Hubungi","Rp 43.073.593 per m²","",""
"Tebet","Tebet, Tebet, Jakarta Selatan, DKI Jakarta","Rp","18 M","10","6","450 m²","Hubungi","Rp 27.231.467 per m²","",""
"Tebet","Tebet, Tebet, Jakarta Selatan, DKI Jakarta","Rp","5,95 M","4","3","250 m²","Hubungi","Rp 36.060.606 per m²","",""
"Rumah Minimalis Terlaris Di Depok","Jl Nangka, Pasirputih, Sawangan, Kota Depok, Pancoran, Jakarta Selatan, DKI Jakarta","Rp","350 jt","2","1","45 m²","Hubungi","Rp 5.000.000 per m²","",""
"Puri kencana jakarta barat","Puri kencana, Kembangan, Jakarta Barat, DKI Jakarta","Rp","8,5 M","4","4","500 m²","Hubungi","Rp 42.500.000 per m²","",""
"Jakarta Utara","Cilincing, Jakarta Utara, DKI Jakarta","Rp","410 jt","2","1","36 m²","Hubungi","Rp 6.833.333 per m²","",""
"Dijual Cepat Rumah Mewah Joglo Full Furnished Ada Kolam Renang Dijamin Suka Lokasi Nyaman","Joglo, Jakarta Barat, DKI Jakarta","Rp","5,8 M","4","3","345 m²","Hubungi","Rp 13.875.598 per m²","",""
"Rumah dijual Cepat di Cluster Laseine Jakarta Garden City Cakung Jakarta Timur","jakarta garden city, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,7 M","2","2","60 m²","Hubungi","Rp 20.000.000 per m²","",""
"Dijual Rumah Jakarta Garden City Cluster Shinano Cakung Jakarta Timur","Jakarta Garden City, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,55 M","2","2","67 m²","Hubungi","Rp 20.666.667 per m²","",""
"Terasbali Premiere Perumahan dekat akses Tol dan LRT Cibubur Legalitas Clear","Jl Mandiri, Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,92958 M","3","2","72 m²","Hubungi","Rp 12.863.867 per m²","",""
"WAH! ! RUMAH MEWAH DEKET TOL CIJAGO DP 0% FREE BIAYA BIAYA STRATEGIS","Cibubur, Jakarta Timur, DKI Jakarta","Rp","600 jt","3","2","55 m²","Hubungi","Rp 10.000.000 per m²","",""
"Vila Delima",". Jl. Karang Tengah Raya Lebak Bulus, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","12,5 jt","4","3","500 m²","Hubungi","Rp 28.027 per m²","",""
"Rumah dijual Pluit Murni","Pluit murni, Pluit, Jakarta Utara, DKI Jakarta","Rp","5 M","4","3","300 m²","Hubungi","Rp 31.250.000 per m²","",""
"Rumah Permata Buana - Luas tanah 250 m2 Row jalan 4 Mobil. Lingkungan sangat nyaman dan asri !","Permata Buana, Jakarta Barat, DKI Jakarta","Rp","8 M","4","3","370 m²","Hubungi","Rp 32.000.000 per m²","",""
"DIJUAL RUMAH DI DARMAWANGSA, KEBAYORAN BARU, AKSES 2 MOBIL 2 ARAH, DEKAT MRT","Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","22 M","4","4","450 m²","Hubungi","Rp 41.904.762 per m²","",""
"Cluster Asya Semayang Hook Sertifikat SHM Jakarta Garden City","Jakarta Garden City, Cakung, Jakarta Timur, DKI Jakarta","Rp","5 M","5","4","147 m²","Hubungi","Rp 29.761.905 per m²","",""
"CLUSTER ZEBRINA L9 SERTIFIKAT SHM HADAP SELATAN SEMI FURNISHED","JAKARTA GARDEN CITY, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","3,1 M","4","5","156 m²","Hubungi","Rp 20.945.946 per m²","",""
"Cluster Cassia Unit BU Murah Semi Furnished Renovasi Hadap Selatan Jakarta Garden City","Jakarta Garden City, Cakung, Jakarta Timur, DKI Jakarta","Rp","2,8 M","4","4","156 m²","Hubungi","Rp 18.918.919 per m²","",""
"Cluster Shinano Unit Murah Renovasi Di Jakarta Garden City","Jakarta Garden City, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,65 M","3","2","63 m²","Hubungi","Rp 18.333.333 per m²","",""
"DIJUAL RUMAH MAISON DE WISTERIA DESIGN EROPA MODERN DILENGKAPI ATTIC","JAKARTA GARDEN CITY, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,4 M","3","3","88 m²","Hubungi","Rp 20.000.000 per m²","",""
"DIJUAL BU CLUSTER MISSISIPI UNIT MURAH LEBAR 8 RENOVASI 2, 5 Lantai","JAKARTA GARDEN CITY, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","2,4 M","4","4","170 m²","Hubungi","Rp 21.428.571 per m²","",""
"DIJUAL CLUSTER LA SEINE SEMI FURNISHED RENOVASI BADAN","Jakarta Garden City, Cakung, Jakarta Timur, DKI Jakarta","Rp","2,4 M","6","5","153 m²","Hubungi","Rp 26.666.667 per m²","",""
"DIJUAL CLUSTER THAMES LEBAR 6 UNIT MURAH JAKARTA GARDEN CITY","JAKARTA GARDEN CITY, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,7 M","4","3","75 m²","Hubungi","Rp 16.666.667 per m²","",""
"DIJUAL BU CLUSTER MISSISIPI UNIT MURAH RENOVASI","JAKARTA GARDEN CITY, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,7 M","4","3","75 m²","Hubungi","Rp 18.888.889 per m²","",""
"Cluster Zebrina L9 Renovasi Plus Furnished Jakarta Garden City","Jakarta Garden City, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","2,9 M","4","4","156 m²","Hubungi","Rp 19.594.595 per m²","",""
"Rumah Idaman Lebar 12 Cluster Lantana Jakarta Garden City","Jakarta garden city, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","3,6 M","4","3","250 m²","Hubungi","Rp 18.181.818 per m²","",""
"DIJUAL RUMAH CLUSTER PALM SPRING SERTIFIKAT SHM FURNISHED RENOVASI","JAKARTA GARDEN CITY, CAKUNG, JAKARTA TIMUR, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","4,7 M","5","4","229 m²","Hubungi","Rp 21.363.636 per m²","",""
"Di jual Rumah hook PIK 2 Nashville Jakarta Utara 2 Lantai 2 Kamar Tidur 75m2","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","2 M","2","2","45 m²","Hubungi","Rp 26.666.667 per m²","",""
"10). Rumah Ready Stock, Fresh Baru Selesai, Fasilitas Kolam Renang, Lokasi Harjamukti Akses Toll Cib","Jl. Nakula, Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,5 M","3","3","97 m²","Hubungi","Rp 16.666.667 per m²","",""
"Cilangkap Indah",". Jl. Cilangkap Baru, Cilangkap, Cipayung, Jakarta Timur, DKI Jakarta","Rp","1,399 M","3","2","70 m²","Hubungi","Rp 15.544.444 per m²","",""
"5jt punya rumah 2 lantai di jatiasih","jatiasih, komsen, wibawamukti, cikunir, Cibubur, Jakarta Timur, DKI Jakarta","","675","2","2","53 m²","Hubungi","Rp 14 per m²","",""
"Puri Mansion","Jl. Puri Kembangan, Kembangan, Jakarta Barat, DKI Jakarta","Rp","4,7 M","4","3","280 m²","Hubungi","Rp 31.333.333 per m²","",""
"Greenleaf Jagakarsa Residence","Jl Raya Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","3,5311536 M","5","4","180 m²","Hubungi","Rp 24.867.279 per m²","",""
"RUMAH BARU 900Jt-an di JATIWARINGIN","FREE ; BPHTB,  2 UNITS AC, KITCHEN SET,, Jatiwaringin, Jakarta Timur, DKI Jakarta","","900","3","2","65 m²","Hubungi","Rp 12 per m²","",""
"Greenleaf Jagakarsa Residence","Jl Raya Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","3,1482036 M","5","4","180 m²","Hubungi","Rp 26.455.492 per m²","",""
"RUMAH BARU DI RAWAMANGUN Harga Terjangkau","Free custom layout, Rawamangun, Jakarta Timur, DKI Jakarta","Rp","2,6 M","3","3","170 m²","Hubungi","Rp 25.742.574 per m²","",""
